firm,country,ticker,n_obs,beta_rate,beta_fx,r2,beta_rate_z,beta_fx_z
TR_MPARK,TR,MPARK,7,0.0020550544981255926,-0.09698982049348324,0.4118992106317073,-0.01247013377918626,-1.0522828903179469
TR_MRGYO,TR,MRGYO,11,0.0023552400111472803,0.40499510329661104,0.337359469670252,0.0065472845204653995,0.1711761990832995
TR_MRSHL,TR,MRSHL,6,-0.015865006714305088,0.7013345003229181,0.7426958774506417,-1.1477457725057478,0.8934272302539581
TR_MZHLD,TR,MZHLD,7,0.030140042091495848,0.5779615255213684,0.9642393271816424,1.766776145054601,0.5927373484388152
TR_NATEN,TR,NATEN,6,0.004609297042569079,0.5829473815250392,0.49381343597564187,0.14934679874859677,0.6048890895709604
TR_NETAS,TR,NETAS,11,-0.0013796582853236729,0.3741705175438071,0.17268412633639219,-0.2300668095298124,0.09604920257599854
TR_NTHOL,TR,NTHOL,11,0.01450918894854065,0.5801194082932293,0.5639451723689106,0.7765269168097737,0.5979966324650413
TR_NUGYO,TR,NUGYO,11,0.0038642742403479017,0.3283416535222494,0.3682089350204827,0.10214795117597875,-0.015646861562282493
TR_NUHCM,TR,NUHCM,11,0.0008794718227688116,0.27196343309283066,0.17768549863842442,-0.0869459046384825,-0.15305426756135593
TR_ODAS,TR,ODAS,10,0.0014831476794180875,-0.14211678057061064,0.03629615655881413,-0.048701699687558025,-1.1622682441938241
TR_ORGE,TR,ORGE,10,0.01786381980713229,0.1940415798439131,0.4229403142106748,0.9890502249353983,-0.3429687353118702
TR_ORMA,TR,ORMA,11,0.00013171962373152162,0.7654367433272009,0.6798121402458377,-0.13431766555536973,1.0496599538633855
TR_OSMEN,TR,OSMEN,9,-0.04220470347215109,-0.26036610766974005,0.7259316294559814,-2.816424004468748,-1.4504705530653674
TR_OSTIM,TR,OSTIM,11,0.001350680781910841,0.6171700288203406,0.27275491242682226,-0.0570937715613609,0.6882979867559234
TR_OTKAR,TR,OTKAR,11,-0.0007824704967036916,0.4144652412571717,0.17800031361943236,-0.19223363808422828,0.19425722366517834
TR_OTTO,TR,OTTO,10,0.006415855237683942,-0.05529890668895404,0.6282309192941805,0.2637962687890811,-0.9506720151257592
TR_OYAKC,TR,OYAKC,10,-0.0119894475427274,0.1049579718557253,0.36822521039332223,-0.9022204999199935,-0.5600871082839243
TR_OYLUM,TR,OYLUM,11,9.218198454830197e-05,0.6939831343857135,0.33742760196822197,-0.13682246272349174,0.8755101673121463
TR_OZGYO,TR,OZGYO,8,-0.0053695050587853985,1.333813827733837,0.8794164582895605,-0.48283245527553237,2.4349328518507662
TR_OZKGY,TR,OZKGY,8,-0.004543786558813858,0.2019742016788667,0.04011378025855605,-0.43052135620332244,-0.32363501067830924
TR_OZRDN,TR,OZRDN,9,0.0031576186128260087,0.3641835536493539,0.720309686973871,0.05737974924940625,0.07170854776123349
TR_PARSN,TR,PARSN,8,0.015301881782406998,0.33912589803007576,0.8681795750330609,0.8267457666570797,0.010636959604710812
TR_PENGD,TR,PENGD,11,0.01083694436679587,0.46682404258803956,0.23374703087093984,0.5438820746030671,0.3218683298210091
TR_PETKM,TR,PETKM,11,0.012731263406051452,1.3186109059338704,0.6363031842226133,0.6638913888430749,2.3978796417240753
TR_PETUN,TR,PETUN,7,-0.041474508883114915,-0.2627160017984778,0.23691652737868618,-2.7701645571021456,-1.4561978153688406
TR_PGSUS,TR,PGSUS,11,0.0011885158798097702,-0.01903279411004566,0.03452494442800824,-0.06736727791992829,-0.8622826971022008
TR_PINSU,TR,PINSU,11,-0.0033609981198859723,0.43564638971629,0.4288275629142284,-0.35558908423369384,0.24588082305658468
TR_PKART,TR,PKART,7,-0.00631690537266988,0.5534805652175093,0.08772677855161748,-0.5428523672459704,0.5330713067280652
TR_PKENT,TR,PKENT,7,-0.0005465868982807206,0.31805840592759543,0.5145874950322435,-0.17728988874708887,-0.040709631661536995
TR_PNSUT,TR,PNSUT,6,0.032179881547735656,0.27777494525820684,0.5071215372114148,1.8960045005903452,-0.1388902019790427
TR_POLHO,TR,POLHO,11,0.01055496526718006,0.6493295041681462,0.6992209587571103,0.5260180729889533,0.7666784331796502
TR_PRZMA,TR,PRZMA,9,-0.004710011824715346,0.17801718222648266,0.05424514819299153,-0.4410520956177559,-0.38202408137525695
TR_RALYH,TR,RALYH,7,-0.03475776491137083,-0.09017783180460809,0.24284732522786334,-2.3446439234228906,-1.0356804206354355
TR_RODRG,TR,RODRG,10,0.002467299244194419,-0.24177284941237762,0.09257627092495213,0.013646485570322928,-1.40515427016826
TR_RUZYE,TR,RUZYE,6,-0.002274472789637295,-0.49516287037429785,0.6693507227558195,-0.286755293786873,-2.022727248194719
TR_RYGYO,TR,RYGYO,11,0.014259998156187515,0.3878407755509142,0.7494411218376429,0.7607401272112403,0.12936693906692334
TR_RYSAS,TR,RYSAS,7,0.031070402817799974,0.5943984726436076,0.905286374314395,1.8257165613444937,0.6327981777698575
TR_SAFKR,TR,SAFKR,8,-0.0032053276095733905,-0.23061868464695853,0.12598186967096459,-0.34572701200464284,-1.3779688635550575
TR_SAHOL,TR,SAHOL,11,-0.005441534821420114,0.25575121337900464,0.15956381782581242,-0.48739570055762577,-0.19256738165747678
TR_SAMAT,TR,SAMAT,10,-0.000937777721038561,-0.24191996128397616,0.08370930676284105,-0.20207269534053449,-1.4055128175029232
TR_SANFM,TR,SANFM,10,0.0026125278071040445,0.6944226864897431,0.27977717314829187,0.022847037262869407,0.8765814624675471
TR_SARKY,TR,SARKY,11,-0.00021988665768318808,0.5118491771989653,0.24061053280535905,-0.15659270362479671,0.43160551032303984
TR_SASA,TR,SASA,11,0.01284477135504052,0.44342075971027267,0.28566169121394225,0.6710823692622553,0.2648288495464872
TR_SAYAS,TR,SAYAS,10,-0.0015439474142991952,0.8203278204026585,0.7671034861506298,-0.2404748903740975,1.1834428305839517
TR_SEKUR,TR,SEKUR,10,-0.010981553597367362,0.6119581297833947,0.7087038376797405,-0.8383681821726902,0.6755953238917706
TR_SELEC,TR,SELEC,6,0.030606686919795453,-0.08042556524527329,0.8307267891728812,1.7963391303159901,-1.0119117801866417
TR_SEYKM,TR,SEYKM,6,-0.026334265581752267,-0.49516287037429785,0.05705482741216772,-1.8109965508842365,-2.022727248194719
TR_SILVR,TR,SILVR,10,0.008856193658722698,0.47565198832553907,0.48593490329901723,0.418397122369422,0.343384176097303
TR_SISE,TR,SISE,8,0.007395034336843805,0.41157355591454076,0.6758697449753012,0.3258294373172833,0.18720948468246426
TR_SKTAS,TR,SKTAS,6,0.01513298168568096,0.2424691787814994,0.9757358479199306,0.816045570775013,-0.22493892347863031
TR_SNGYO,TR,SNGYO,11,0.011708723596320126,0.3604523504083572,0.2799043466745609,0.5991112230916985,0.06261469991191115
TR_SNPAM,TR,SNPAM,7,-0.00024142548310402187,-0.2925171298954301,0.14152788327326382,-0.1579572360054169,-1.528830397178953
TR_SOKM,TR,SOKM,6,-0.008566103011171791,-0.03803454689047939,0.30951232734586964,-0.6853440281506364,-0.9085945802923386
TR_SRVGY,TR,SRVGY,9,-0.004369343994175038,0.8239083538379658,0.41230493004919866,-0.4194700326813882,1.192169459549732
TR_TATGD,TR,TATGD,7,0.0005056431766709102,0.1809200191907394,0.03162563893360093,-0.11062877881743265,-0.37494916318417815
TR_TAVHL,TR,TAVHL,11,-0.0017231192883383423,-0.011929466949857729,0.2321262821145046,-0.2518258261399044,-0.8449701648581913
VN_AAA,VN,AAA,11,0.005402821656425762,0.002010094422480103,0.4223439706818698,-0.10821187529611587,0.8081430093632435
VN_AAT,VN,AAT,8,0.01573883341291254,0.0032113591808824206,0.5664579576571698,0.3411271984979212,1.2474435064168157
VN_AAV,VN,AAV,8,0.0028570596741693418,0.0007857814427527413,0.24097817914583886,-0.2188841885787768,0.36041381662583283
VN_ABS,VN,ABS,6,0.10023606717305704,0.003337934672908691,0.5288086885108159,4.014488805513634,1.2937319504696447
VN_ABT,VN,ABT,11,0.031260120329333514,-0.0012236981643572327,0.5491511965597669,1.015886559403165,-0.37444948811017464
VN_ACC,VN,ACC,8,-0.022318269693523834,-0.0023408536936075446,0.5365627715282688,-1.3133352638147942,-0.7829913818543387
VN_ACL,VN,ACL,11,0.006653554321489404,-0.0009677044910469396,0.3262842764132161,-0.053838576336685345,-0.2808330333351665
VN_ADP,VN,ADP,9,-0.0025129669693709075,0.0005686972644340482,0.05193334042880959,-0.45233620615638126,0.2810264985755606
VN_ADS,VN,ADS,10,0.008595079853338215,-0.0004711933676349226,0.7440511269658623,0.030565670173667955,-0.099259752522681
VN_AGG,VN,AGG,6,0.06942126768170583,0.0029700997952742487,0.39121335190206896,2.6748721536746953,1.1592153558153864
VN_AGM,VN,AGM,11,0.015995439824849193,-7.77754887957481e-05,0.3585684644366951,0.35228268962793685,0.0446125025442816
VN_ALT,VN,ALT,11,0.008334547504613281,0.00035013449677942943,0.43580140071114215,0.019239506172744066,0.20109846289774877
VN_AMC,VN,AMC,11,0.0124465224389615,-2.9943281763020926e-05,0.20356464734584223,0.19800004282797234,0.062104660020534656
VN_AME,VN,AME,11,0.008202656832715692,-0.003277130475686089,0.3025308598652148,0.013505802134013414,-1.1253862226834843
VN_AMV,VN,AMV,11,0.0028709069534573334,-0.0044893972069445665,0.08768597847801429,-0.218282203616257,-1.56871012266341
VN_ANV,VN,ANV,11,0.004456312509661377,-0.00021330659967705136,0.29453510792607007,-0.14935961712968884,-0.00495099622643575
VN_API,VN,API,9,0.005015552630700017,-0.0009242917110509443,0.029850138020854677,-0.1250476829004866,-0.2649570528759688
VN_ARM,VN,ARM,7,0.10023606717305704,0.007140107367205358,0.8423071849308015,4.014488805513634,2.6841800950647965
VN_ASM,VN,ASM,11,0.003962059667095859,-0.0005739862765551815,0.07351921759549818,-0.17084634912368837,-0.13685094602636047
VN_ASP,VN,ASP,11,0.014636859601571319,-0.00016810774430135917,0.7844329616293856,0.29322091671349965,0.011578148988148277
VN_AST,VN,AST,7,-0.051400486889251605,-0.0004500473770348951,0.7283007829917121,-2.5776310914974716,-0.09152669940819753
VN_ATS,VN,ATS,6,0.010732926494459656,-0.0007530188256761247,0.07601106578609607,0.12350461531682988,-0.20232284742651624
VN_BBS,VN,BBS,11,0.017391246042269944,0.0006831583072351025,0.7023145989194659,0.412962794073269,0.3228847089692872
VN_BCC,VN,BCC,11,0.004909461149610111,-0.0009275178056718756,0.4396233489405542,-0.12965981463693302,-0.26613683024028756
