total_assets,current_assets,cash,current_liabilities,equity,st_debt,lt_debt,total_debt_reported,retained_earnings,revenue,ebit,ebitda,interest_expense,pretax_income,net_income,ticker,year,total_debt,total_liabilities,total_debt_lag,debt_to_assets,leverage,st_debt_share,implied_rate,icr,roa,current_ratio,altman_z,country,source
,,,,,,,,,,,,,,,BCM,2021,,,,,,,,,,,,VN,yahoo
48305441510403.0,27849285308891.0,1070646673840.0,18837735330910.0,16757439424479.0,4950680794580.0,10935701571848.0,15886382366428.0,4986705736048.0,6565186159079.0,2795356453984.0,2984961261980.0,843537548154.0,1951818905830.0,1700055767317.0,BCM,2022,15886382366428.0,31548002085924.0,,0.3288735568850298,0.6530941670231885,0.31163046944168094,0.053098152159336866,3.313849466572491,0.057868355335951034,1.478377566075809,5.756936728017262,VN,yahoo
53423901937257.0,28440868532001.0,1332254152561.0,22997575585298.0,18562001317699.0,9385205395358.0,10331236566188.0,19716441961546.0,6302930324830.0,7882566359226.0,3573723712749.0,3841168046843.0,876565551224.0,2697158161525.0,2423168916542.0,BCM,2023,19716441961546.0,34861900619558.0,15886382366428.0,0.3690565691869852,0.6525524972043618,0.4760090798158437,0.049241349121578605,4.076961167089899,0.0668937232803795,1.2366898600469354,5.311595243329561,VN,yahoo
58801487262820.0,31724695841365.0,2205138245025.0,21889556740880.0,19650097159656.0,8444231302085.0,15183796695303.0,23628027997388.0,6871529636665.0,5259966055172.0,3841103620879.0,4103285558145.0,1261778151541.0,2579325469338.0,2193237102548.0,BCM,2024,23628027997388.0,39151390103164.0,19716441961546.0,0.40182704719320816,0.6658231266867854,0.35738197462007754,0.058220951957029386,3.044198868230433,0.06532323925261867,1.4493073668375072,5.694156342490333,VN,yahoo
60941012421870.0,31463515167154.0,2349813093288.0,21656542593559.0,22775060379636.0,9672434647493.0,14275455749523.0,23947890397016.0,9598842543649.0,6953015337399.0,5073772808797.0,5311472281578.0,1331034040533.0,3742738768264.0,3500888372407.0,BCM,2025,23947890397016.0,38165952042234.0,23628027997388.0,0.39296837130362117,0.6262769607112291,0.40389506078156356,0.05595410810564866,3.811903117643224,0.08325711384105865,1.4528411001538053,6.005218521826018,VN,yahoo
,,,,,,,,,,,,,,,BFC,2021,,,,,,,,,,,,VN,yahoo
4299656387184.0,3486914435132.0,541052131617.0,2917765290534.0,1091361770274.0,2058262667453.0,19030517894.0,2079962934080.0,277808492052.0,8581358101346.0,343491425438.0,438362032576.0,97903378436.0,245588047002.0,149798354980.0,BFC,2022,2077293185347.0,3208294616910.0,,0.48313004535404147,0.7461746539730417,0.9908387905817825,0.047130265061571364,3.508473669910608,0.0798881107015542,1.195063374852141,5.223012526081183,VN,yahoo
3454647947598.0,2743330306053.0,607044366543.0,2159289937729.0,1072858984556.0,1483912197317.0,7040000000.0,1493512384310.0,257722029290.0,8588309084029.0,313729790034.0,430731192918.0,117490941609.0,196238848425.0,148242218196.0,BFC,2023,1490952197317.0,2381788963042.0,2077293185347.0,0.4315786210151028,0.6894447709781966,0.9952781853015351,0.06585362216388996,2.6702466227402146,0.0908138238086271,1.2704779743188428,5.685463536071232,VN,yahoo
3280207925316.0,2608895504667.0,626550473599.0,1745367033397.0,1258198812584.0,771601318553.0,4480000000.0,780886940469.0,433465658893.0,9358243746877.0,591212281125.0,683602016444.0,56775268908.0,534437012217.0,357472777241.0,BFC,2024,776081318553.0,2022009112732.0,1490952197317.0,0.23659515988707816,0.6164271164417753,0.9942274090447726,0.05008771904831045,10.413200897084511,0.18023622117431637,1.4947546589036453,7.272294532437733,VN,yahoo
3968725269394.0,3313863634044.0,250246241891.0,2267619348126.0,1381292831372.0,1367515557390.0,1920000000.0,1372971745916.0,537861518882.0,10616456517603.0,545198834506.0,636768483941.0,50349598472.0,494849236034.0,309876241445.0,BFC,2025,1369435557390.0,2587432438022.0,776081318553.0,0.3450567787976678,0.6519555429990963,0.998597962503866,0.04693470280896326,10.828265786651535,0.13737379070062175,1.4613844412567014,6.9048646201626696,VN,yahoo
,,,,,,,,,,,,,,,BHN,2021,,,,,,,,,,,,VN,yahoo
7255422654526.0,4865553133429.0,511914329623.0,1815508334712.0,4644919680168.0,96475255531.0,0.0,96475255531.0,774761819165.0,8401769059657.0,644564963560.0,1087296717446.0,8740649818.0,635824313742.0,464709725382.0,BHN,2022,96475255531.0,2610502974358.0,,0.013296986285260423,0.35980026232235335,1.0,0.09059991362439462,73.74336885486699,0.08883906482800343,2.679994930566286,8.821101654785922,VN,yahoo
7149981347305.0,5135871007030.0,1164573830285.0,1726342324471.0,4633971615584.0,110788979230.0,6518120000.0,117307099230.0,760005147176.0,7754352899163.0,470074208634.0,885884336397.0,5738294772.0,464335913862.0,336125947746.0,BHN,2023,117307099230.0,2516009731721.0,96475255531.0,0.016406630105995433,0.3518903909685505,0.9444354174403363,0.05368352105967942,81.91879771107722,0.06574481607720309,2.9750015012832267,9.10040071209396,VN,yahoo
7259200002724.0,5352518818851.0,1036109602407.0,1869699422684.0,4592390105883.0,70681112774.0,915963000.0,71597075774.0,722092432295.0,8218412128598.0,509760971139.0,892855371659.0,2919404255.0,506841566884.0,370706599958.0,BHN,2024,71597075774.0,2666809896841.0,117307099230.0,0.009862942989190729,0.36736966826100464,0.9872066981772931,0.03090883782677839,174.6112996396246,0.07022274781624879,2.8627696804694556,9.001691625061593,VN,yahoo
7550755316813.0,5943328780153.0,801818312936.0,1953279777983.0,4720764835979.0,28204157872.0,303963000.0,28508120872.0,859335903652.0,8540018196174.0,612048615803.0,872169155324.0,1591462963.0,610457152840.0,467204926411.0,BHN,2025,28508120872.0,2829990480834.0,71597075774.0,0.003775532337608924,0.3747956809741352,0.9893376697340109,0.03179581113311947,384.5823811377004,0.08105793263359666,3.042743209214101,9.383753331431747,VN,yahoo
