total_assets,current_assets,cash,current_liabilities,equity,st_debt,lt_debt,total_debt_reported,retained_earnings,revenue,ebit,ebitda,interest_expense,pretax_income,net_income,ticker,year
17133618109000.0,8799684121000.0,928043107000.0,9945027489000.0,5207440082000.0,1560030665000.0,1568942823000.0,3168060053000.0,772843969000.0,11963925991000.0,166253002000.0,444323002000.0,131890000000.0,34363002000.0,24686073000.0,329180,2023
16289398053000.0,8000865934000.0,744148120000.0,9072004186000.0,5287819487000.0,1444632171000.0,1159024155000.0,2648107448000.0,845402772000.0,9045480488000.0,-315342784000.0,-61065784000.0,106141000000.0,-421483784000.0,-352064622000.0,329180,2022
,,,,,,,,,,,,,,,329180,2021
27513223000000.0,10771711000000.0,3080997000000.0,10107067000000.0,7785743000000.0,2913419000000.0,2895656000000.0,6234522000000.0,1696327000000.0,17057876000000.0,652755000000.0,1210082000000.0,325948000000.0,326807000000.0,84762000000.0,034020,2025
26314835000000.0,10049022000000.0,2898298000000.0,8945820000000.0,7496562000000.0,2539477000000.0,3360684000000.0,6371611000000.0,1394448000000.0,16233055000000.0,986856000000.0,1477887000000.0,329077000000.0,657779000000.0,111365000000.0,034020,2024
24640834000000.0,9641568000000.0,2620187000000.0,9596750000000.0,7117371000000.0,2762949000000.0,2004428000000.0,5221744000000.0,1184532000000.0,17589888000000.0,1059374000000.0,1526039000000.0,320892000000.0,738482000000.0,55598000000.0,034020,2023
23049781799920.0,8098893728490.0,1395837596350.0,8059455534050.0,7113272670500.0,2204577472940.0,2707215395000.0,5383034436450.0,58813720110.0,15421058082380.0,73558647800.0,544956647800.0,260038000000.0,-186479352200.0,-772492598020.0,034020,2022
,,,,,,,,,,,,,,,034020,2021
41084496327310.0,10928462735830.0,5984018799740.0,8018876510290.0,27581956984240.0,1729333784010.0,1256361591000.0,4173496645990.0,27625675371070.0,12035007218970.0,2528860655070.0,3274158893070.0,108717362000.0,2420143293070.0,1953214734950.0,035420,2025
38167876036020.0,9374912034820.0,4195524637850.0,6092160669670.0,25459903574290.0,335389909710.0,2870348684000.0,3801870750520.0,25964961560850.0,10737719264640.0,2427065871440.0,3100581468440.0,104881380000.0,2322184491440.0,1923237257010.0,035420,2024
35737826964390.0,7028076457880.0,3576456533320.0,6305568632190.0,23206042240990.0,775927341610.0,2649319395660.0,4178883507110.0,24544359050680.0,9670643576580.0,1608473868550.0,2190813230550.0,127077551000.0,1481396317550.0,1012321527620.0,035420,2023
33899042889130.0,6439570710740.0,2724168321700.0,5480633710840.0,22744095607040.0,1381399298780.0,2032552590380.0,4196582171070.0,23645687007290.0,8220078708810.0,1155409228150.0,1716317796150.0,71692137000.0,1083717091150.0,760260876240.0,035420,2022
,,,,,,,,,,,,,,,035420,2021
4956680318370.0,3356846142790.0,762716704000.0,1864659912550.0,2069766351520.0,569381322270.0,773010797000.0,1389567906060.0,1939179544990.0,4965798552980.0,462266221000.0,594582435060.0,52195920000.0,410070301000.0,286623001980.0,010120,2025
4485197464380.0,3052191652180.0,660104319200.0,1846349798510.0,1838756342740.0,604673741620.0,569352170000.0,1226634411910.0,1743475249710.0,4551837252460.0,377132902000.0,490902104450.0,43766280000.0,333366622000.0,238715669200.0,010120,2024
3732891934230.0,2605193022170.0,583925062420.0,1448676924740.0,1712769946790.0,417315761530.0,514243486000.0,988175236450.0,1596891858070.0,4230482628440.0,306192634250.0,408279761800.0,42096280000.0,264096354250.0,205961759130.0,010120,2023
3322804977890.0,2341252236660.0,556085787710.0,1390210307030.0,1553494370850.0,526235507430.0,350253780000.0,902304533280.0,1436379983690.0,3377070215830.0,147381934510.0,249561649750.0,20415240000.0,126966694510.0,90303429390.0,010120,2022
,,,,,,,,,,,,,,,010120,2021
4769815393350.0,3426275170370.0,950781542250.0,2548719075380.0,2028771644110.0,139200492000.0,46859273000.0,258565940690.0,1322719258020.0,4079497658520.0,973172429640.0,1046890429640.0,16787000000.0,956385429640.0,732605395230.0,267260,2025
3795545096460.0,2763740978390.0,569771637520.0,2001078594200.0,1501786699270.0,126798558000.0,166949635000.0,351778988810.0,815876343990.0,3322349007520.0,679663931820.0,744912931820.0,29592000000.0,650071931820.0,501567028460.0,267260,2024
2910160077690.0,1972953333100.0,176097890080.0,1497428721700.0,1048142407770.0,441715689000.0,273777042000.0,742666414680.0,396620702340.0,2702799337370.0,349761406750.0,402135406750.0,39245000000.0,310516406750.0,259152699990.0,267260,2023
2435030170730.0,1548305844280.0,172685883610.0,1411144505500.0,822579713290.0,454625026000.0,110539881000.0,598737365370.0,171907879670.0,2104499487330.0,188231271470.0,235082271470.0,24316000000.0,163915271470.0,162486134410.0,267260,2022
,,,,,,,,,,,,,,,267260,2021
20140914014340.0,12082155480710.0,778471159630.0,11200499198870.0,6170251544050.0,3300054550950.0,2346290396000.0,5776856504530.0,1551926230280.0,12783512278320.0,1038099571730.0,1271025571730.0,195730000000.0,842369571730.0,1245838500540.0,042660,2025
17843809161290.0,11246034307660.0,588259735080.0,10346614469470.0,4858676068260.0,3237744025540.0,2028126040000.0,5394604555550.0,236448278990.0,10776004933620.0,353549065670.0,533187065670.0,172514000000.0,181035065670.0,528119120120.0,042660,2024
13944772692390.0,9217523943520.0,1799307748620.0,7459444078860.0,4307452654470.0,526449916430.0,1664742451000.0,2265818140330.0,-2868157127310.0,7408312265640.0,42753819020.0,188757819020.0,159033000000.0,-116279180980.0,159885949580.0,042660,2023
12235665304870.0,7822464527780.0,659721353640.0,10672486378140.0,744971931950.0,2587529210120.0,99715361000.0,2756255294620.0,-2700710987440.0,4860150249530.0,-1672511432030.0,-1542015432030.0,121815000000.0,-1794326432030.0,-1744778447650.0,042660,2022
,,,,,,,,,,,,,,,042660,2021
20395719724710.0,12069316661150.0,3451069963530.0,6127539235850.0,10937740250970.0,3136064154600.0,2668945940000.0,5960216056600.0,6542819899590.0,16587850779910.0,1233833752660.0,1595905804660.0,204864769000.0,1028968983660.0,775018941540.0,010130,2025
