total_assets,current_assets,cash,current_liabilities,equity,total_debt_reported,retained_earnings,revenue,ebit,ebitda,interest_expense,pretax_income,net_income,ticker,year,st_debt,lt_debt
3957786000.0,102931000.0,52774000.0,188852000.0,2327978000.0,1179547000.0,-137449000.0,100458000.0,16260000.0,76116000.0,47754000.0,-31494000.0,-52159000.0,MSKE,2024,102364000.0,878168000.0
3317542000.0,331402000.0,296422000.0,108986000.0,2373576000.0,902367000.0,-85290000.0,72073000.0,21540000.0,66471000.0,27307000.0,-5767000.0,1803000.0,MSKE,2023,60907000.0,669298000.0
2426616000.0,77278000.0,43585000.0,56007000.0,1700689000.0,711033000.0,-87093000.0,59246000.0,16071000.0,53889000.0,33818000.0,-17747000.0,-10880000.0,MSKE,2022,32656000.0,566919000.0
,,,,,,,,,,,,,MSKE,2021,,
4613000000.0,1501000000.0,662000000.0,1220000000.0,2322000000.0,1348000000.0,1205000000.0,3200000000.0,458000000.0,1158000000.0,57000000.0,401000000.0,304000000.0,PTNR,2025,206000000.0,584000000.0
4820000000.0,1547000000.0,481000000.0,1226000000.0,2251000000.0,1572000000.0,1134000000.0,3324000000.0,423000000.0,1133000000.0,63000000.0,360000000.0,277000000.0,PTNR,2024,156000000.0,790000000.0
4831000000.0,1448000000.0,648000000.0,1334000000.0,1960000000.0,1844000000.0,843000000.0,3347000000.0,291000000.0,1019000000.0,69000000.0,222000000.0,163000000.0,PTNR,2023,226000000.0,945000000.0
4967000000.0,1574000000.0,560000000.0,1386000000.0,1782000000.0,2097000000.0,665000000.0,3463000000.0,3000000.0,713000000.0,75000000.0,-72000000.0,-100000000.0,PTNR,2022,238000000.0,1171000000.0
,,,,,,,,,,,,,PTNR,2021,,
467193000.0,287123000.0,5613000.0,125836000.0,298631000.0,15052000.0,174723000.0,314083000.0,53416000.0,67938000.0,5395000.0,48021000.0,42711000.0,BSEN,2025,6915000.0,7031000.0
326828000.0,189711000.0,102000.0,101899000.0,193269000.0,36341000.0,131513000.0,258981000.0,48942000.0,60295000.0,4005000.0,44937000.0,36413000.0,BSEN,2024,21953000.0,13927000.0
288938000.0,161331000.0,370000.0,87551000.0,154274000.0,53596000.0,94534000.0,209687000.0,88563000.0,99364000.0,6763000.0,81800000.0,59935000.0,BSEN,2023,29896000.0,23290000.0
259174000.0,129243000.0,596000.0,75820000.0,137875000.0,78291000.0,79493000.0,163722000.0,10118000.0,20587000.0,4353000.0,5765000.0,4714000.0,BSEN,2022,44111000.0,33693000.0
,,,,,,,,,,,,,BSEN,2021,,
4450000000.0,1874000000.0,615000000.0,1190000000.0,1746000000.0,1407000000.0,905000000.0,5841000000.0,163000000.0,369000000.0,103000000.0,60000000.0,47000000.0,ORL,2025,191000000.0,1070000000.0
4452000000.0,2084000000.0,752000000.0,1298000000.0,1764000000.0,1262000000.0,909000000.0,7542000000.0,248000000.0,430000000.0,109000000.0,139000000.0,113000000.0,ORL,2024,218000000.0,915000000.0
4657000000.0,2320000000.0,763000000.0,1394000000.0,1857000000.0,1319000000.0,970000000.0,8324000000.0,600000000.0,773000000.0,110000000.0,490000000.0,408000000.0,ORL,2023,273000000.0,927000000.0
4526534000.0,2221029000.0,751060000.0,1262634000.0,1743947000.0,1424515000.0,810391000.0,10828000000.0,625000000.0,780000000.0,109000000.0,516000000.0,441000000.0,ORL,2022,266278000.0,1057512000.0
,,,,,,,,,,,,,ORL,2021,,
23138918000.0,5283691000.0,945552000.0,5441949000.0,5545780000.0,14883138000.0,3751363000.0,4652436000.0,949977000.0,1089777000.0,666075000.0,283902000.0,270655000.0,ASHG,2025,3466735000.0,11022217000.0
21832287000.0,4206901000.0,938321000.0,4440920000.0,4904889000.0,14390654000.0,3535396000.0,4459489000.0,863709000.0,994064000.0,642646000.0,221063000.0,169661000.0,ASHG,2024,2526590000.0,11575459000.0
21376759000.0,4931584000.0,1409337000.0,4603561000.0,4741882000.0,14246498000.0,3359572000.0,4818920000.0,497041000.0,581666000.0,495026000.0,2015000.0,30955000.0,ASHG,2023,2946370000.0,10968011000.0
18233572000.0,5177586000.0,921891000.0,4484925000.0,4855284000.0,10631360000.0,3530034000.0,5152913000.0,1498963000.0,1582885000.0,377909000.0,1121054000.0,930846000.0,ASHG,2022,2457786000.0,8037531000.0
,,,,,,,,,,,,,ASHG,2021,,
13590000000.0,4902000000.0,524000000.0,3335000000.0,3012000000.0,3435000000.0,2677000000.0,7153000000.0,606000000.0,1337000000.0,181000000.0,425000000.0,87000000.0,ILCO,2025,989000000.0,2191000000.0
12490000000.0,4476000000.0,618000000.0,2566000000.0,2816000000.0,3026000000.0,2603000000.0,6841000000.0,813000000.0,1427000000.0,182000000.0,631000000.0,190000000.0,ILCO,2024,526000000.0,2236000000.0
12891000000.0,5025000000.0,537000000.0,2862000000.0,2776000000.0,3565000000.0,2441000000.0,7536000000.0,1165000000.0,1705000000.0,203000000.0,962000000.0,273000000.0,ILCO,2023,981000000.0,
13092000000.0,5619000000.0,762000000.0,2895000000.0,2456000000.0,3956000000.0,2157000000.0,10015000000.0,3523000000.0,4062000000.0,192000000.0,3331000000.0,953000000.0,ILCO,2022,682000000.0,
,,,,,,,,,,,,,ILCO,2021,,3535000000.0
